fill_rate_0to12h,fill_rate_12to24h,fill_rate_24to36h,fill_rate_36to48h,fill_rate_48to60h,fill_rate_60to72h,quarter,dept,subj_course_id,start_time,end_time,final_waitlist_count,total_seats,final_waitlist_ratio,fill_rate_0to72h
0.0,0.0,0.0,0.0,0.0,0.0,Sp25,math,MATH 112B,2025-02-15 08:00:00,2025-03-31 06:00:00,0.0,25.0,0.0,0.0
1.08,0.17,0.08,0.0,0.25,0.08,Sp25,math,MATH 3C,2025-02-15 08:00:00,2025-03-31 06:00:00,1.0,376.0,0.0026595744680851,1.6600000000000001
1.08,0.08,0.08,0.0,0.17,0.08,Sp25,math,MATH 3B,2025-02-15 08:00:00,2025-03-31 06:00:00,2.0,144.0,0.0138888888888888,1.4900000000000002
0.17,0.25,0.0,0.08,0.5,0.0,Sp25,math,MATH 190B,2025-02-15 08:00:00,2025-03-31 06:00:00,0.0,35.0,0.0,1.0
0.17,0.0,0.0,0.0,0.17,0.0,Sp25,math,MATH 150B,2025-02-15 08:00:00,2025-03-31 06:00:00,0.0,35.0,0.0,0.34
2.0,0.08,0.17,0.08,1.08,0.33,Sp25,math,MATH 11,2025-02-15 08:00:00,2025-03-31 06:00:00,19.0,586.0,0.0324232081911262,3.74
0.67,0.08,-0.08,0.08,1.17,0.33,Sp25,math,MATH 170A,2025-02-15 08:00:00,2025-03-31 06:00:00,1.0,140.0,0.0071428571428571,2.25
0.08,0.0,0.0,0.08,0.33,0.25,Sp25,math,MATH 170C,2025-02-15 08:00:00,2025-03-31 06:00:00,0.0,35.0,0.0,0.74
0.33,0.33,0.25,0.0,1.58,0.0,Sp25,math,MATH 111A,2025-02-15 08:00:00,2025-03-31 06:00:00,16.0,30.0,0.5333333333333333,2.49
0.5,0.25,0.08,0.0,1.75,0.25,Sp25,math,MATH 170B,2025-02-15 08:00:00,2025-03-31 06:00:00,0.0,110.0,0.0,2.83
0.5,0.42,0.0,0.08,1.42,0.25,Sp25,math,MATH 171B,2025-02-15 08:00:00,2025-03-31 06:00:00,0.0,130.0,0.0,2.67
3.42,1.5,0.0,0.0,0.0,0.0,Sp25,math,MATH 189,2025-02-15 08:00:00,2025-03-31 06:00:00,125.0,198.0,0.6313131313131313,4.92
1.67,0.42,0.0,0.0,0.0,0.0,Sp25,math,MATH 163,2025-02-15 08:00:00,2025-03-31 06:00:00,14.0,35.0,0.4,2.09
4.17,0.25,0.0,0.0,1.5,0.58,Sp25,math,MATH 10B,2025-02-15 08:00:00,2025-03-31 06:00:00,33.0,746.0,0.0442359249329758,6.5
0.33,0.33,0.0,0.0,0.42,0.33,Sp25,math,MATH 110,2025-02-15 08:00:00,2025-03-31 06:00:00,9.0,105.0,0.0857142857142857,1.4100000000000001
3.08,0.58,0.08,-0.08,1.33,0.25,Sp25,math,MATH 10C,2025-02-15 08:00:00,2025-03-31 06:00:00,7.0,604.0,0.0115894039735099,5.24
0.17,0.0,0.0,0.08,0.17,0.25,Sp25,math,MATH 121B,2025-02-15 08:00:00,2025-03-31 06:00:00,0.0,35.0,0.0,0.67
